"","Entity","Code","SDG","Year","value"
"542","Cameroon","CMR","14_1_1_2",2010,94.32
"543","Cameroon","CMR","14_1_1_2",2011,97.79
"544","Cameroon","CMR","14_1_1_2",2012,95.66
"545","Cameroon","CMR","14_1_1_2",2013,95.42
"546","Cameroon","CMR","14_1_1_2",2014,94.72
"547","Cameroon","CMR","14_1_1_2",2015,93.78
"548","Cameroon","CMR","14_1_1_2",2016,97.01
"549","Cameroon","CMR","14_1_1_2",2017,92.02
"550","Cameroon","CMR","14_1_1_2",2018,94.07
"551","Cameroon","CMR","14_1_1_2",2019,90.79
"552","Canada","CAN","14_1_1_2",2000,99.1
"553","Canada","CAN","14_1_1_2",2001,98.56
"554","Canada","CAN","14_1_1_2",2002,98.06
"555","Canada","CAN","14_1_1_2",2003,98.29
"556","Canada","CAN","14_1_1_2",2004,98.52
"557","Canada","CAN","14_1_1_2",2005,97.51
"558","Canada","CAN","14_1_1_2",2006,97.28
"559","Canada","CAN","14_1_1_2",2007,97.9
"560","Canada","CAN","14_1_1_2",2008,98.03
"561","Canada","CAN","14_1_1_2",2009,97.56
"562","Canada","CAN","14_1_1_2",2010,97.58
"563","Canada","CAN","14_1_1_2",2011,97.91
"564","Canada","CAN","14_1_1_2",2012,98.34
"565","Canada","CAN","14_1_1_2",2013,98.7
"566","Canada","CAN","14_1_1_2",2014,98.67
"567","Canada","CAN","14_1_1_2",2015,98.32
"568","Canada","CAN","14_1_1_2",2016,98.14
"569","Canada","CAN","14_1_1_2",2017,98.45
"570","Canada","CAN","14_1_1_2",2018,97.99
"571","Canada","CAN","14_1_1_2",2019,98.78
"572","Cape Verde","CPV","14_1_1_2",2000,98.59
"573","Cape Verde","CPV","14_1_1_2",2001,95.07
"574","Cape Verde","CPV","14_1_1_2",2002,98.66
