"","Country","Code","SDG","Year","Value","Value_norm_percent"
"477","United Kingdom","GBR","14_1_1_1","2017",505209,42.6459487852406
"478","United Kingdom","GBR","14_1_1_1","2018",1151873,36.2602658777253
"479","United Kingdom","GBR","14_1_1_1","2019",26712,65.4239617254701
"480","United States","USA","14_1_1_1","2015",7717,75.0445471159501
"481","United States","USA","14_1_1_1","2016",203851,49.6778956356839
"482","United States","USA","14_1_1_1","2017",214112,49.2973923531026
"483","United States","USA","14_1_1_1","2018",119956,53.7863805785615
"484","United States","USA","14_1_1_1","2019",1510,87.6839743708572
"485","United States","USA","14_1_1_1","2020",2114,85.0769894197335
"486","United States Virgin Islands","VIR","14_1_1_1","2015",48352,60.8263431363032
"487","United States Virgin Islands","VIR","14_1_1_1","2016",1042555,37.0328562094346
"488","United States Virgin Islands","VIR","14_1_1_1","2017",864228,38.4863263684063
"489","United States Virgin Islands","VIR","14_1_1_1","2018",453534,43.4819725951876
"490","Uruguay","URY","14_1_1_1","2016",560363,41.8431590892376
"491","Uruguay","URY","14_1_1_1","2017",483382,42.9881387471504
"492","Uruguay","URY","14_1_1_1","2018",244069,48.2827791064866
"493","Vanuatu","VUT","14_1_1_1","2016",535071,42.20100283475
"494","Vanuatu","VUT","14_1_1_1","2017",684594,40.2916916280983
"495","Vanuatu","VUT","14_1_1_1","2018",696651,40.1564224479547
"496","Venezuela","VEN","14_1_1_1","2016",1614656,33.6435155008812
"497","Venezuela","VEN","14_1_1_1","2017",2192921,31.2717575043104
"498","Venezuela","VEN","14_1_1_1","2018",2108750,31.5750069496998
"499","Vietnam","VNM","14_1_1_1","2016",3446296,27.7691559478046
"500","Vietnam","VNM","14_1_1_1","2017",2302819,30.892883843751
"501","Vietnam","VNM","14_1_1_1","2018",3492480,27.6660142264769
