"","Entity","Code","SDG","Year","value","value_norm"
"362","Puerto Rico","PRI","14_1_1_1",2017,965147,0.376306084541122
"363","Puerto Rico","PRI","14_1_1_1",2018,684838,0.402889306138757
"364","Qatar","QAT","14_1_1_1",2016,623371,0.410175556087746
"365","Qatar","QAT","14_1_1_1",2017,766972,0.394113309503966
"366","Qatar","QAT","14_1_1_1",2018,464191,0.433020187170706
"367","Reunion","REU","14_1_1_1",2015,2083333,0.316689617606009
"368","Romania","ROU","14_1_1_1",2015,146057,0.522610178626196
"369","Romania","ROU","14_1_1_1",2016,2776233,0.294443114938414
"370","Romania","ROU","14_1_1_1",2017,13410072,0.172419094130169
"371","Romania","ROU","14_1_1_1",2018,719425,0.399071871864243
"372","Russia","RUS","14_1_1_1",2016,555747,0.419072476563647
"373","Russia","RUS","14_1_1_1",2017,2801281,0.293747202514296
"374","Russia","RUS","14_1_1_1",2018,374226,0.449712172502932
"375","Russia","RUS","14_1_1_1",2019,42530,0.618203943468934
"376","Russia","RUS","14_1_1_1",2020,681338,0.403286298022185
"378","Saint Helena","SHN","14_1_1_1",2018,8249464,0.210063331420763
"379","Saint Kitts and Nevis","KNA","14_1_1_1",2016,991240,0.374239209198705
"380","Saint Kitts and Nevis","KNA","14_1_1_1",2017,601484,0.412944837391362
"381","Saint Kitts and Nevis","KNA","14_1_1_1",2018,1538667,0.340170112335404
"382","Saint Lucia","LCA","14_1_1_1",2017,1163493,0.361824963596918
"383","Saint Lucia","LCA","14_1_1_1",2018,1982561,0.320531039972771
"384","Saint Martin (French part)","MAF","14_1_1_1",2016,916833,0.380285073279415
"385","Saint Vincent and the Grenadines","VCT","14_1_1_1",2016,1498550,0.342217014896382
"386","Saint Vincent and the Grenadines","VCT","14_1_1_1",2017,130706,0.531214049644754
"387","Saint Vincent and the Grenadines","VCT","14_1_1_1",2018,4061116,0.264972624017342
"388","Samoa","WSM","14_1_1_1",2016,2089778,0.316450295610613
"389","Samoa","WSM","14_1_1_1",2018,2434888,0.304608035024199
"390","Sao Tome and Principe","STP","14_1_1_1",2016,53107,0.600995722873199
"391","Senegal","SEN","14_1_1_1",2017,100,1
"392","Senegal","SEN","14_1_1_1",2018,230851,0.487141757374403
"393","Serbia","SRB","14_1_1_1",2016,13151163,0.173929633063459
"394","Seychelles","SYC","14_1_1_1",2017,86703383,0.0278038015766102
"395","Seychelles","SYC","14_1_1_1",2018,35040,0.633213314768834
"396","Sierra Leone","SLE","14_1_1_1",2018,621,0.945683295058788
"397","Singapore","SGP","14_1_1_1",2016,7581521,0.216605303046435
"398","Singapore","SGP","14_1_1_1",2017,3229485,0.282726000759693
"399","Singapore","SGP","14_1_1_1",2018,5545935,0.240829299509018
"400","Sint Maarten (Dutch part)","SXM","14_1_1_1",2018,544323,0.420681760850386
"401","Slovenia","SVN","14_1_1_1",2016,1833146,0.326602044915982
"402","Slovenia","SVN","14_1_1_1",2017,1491842,0.342564619040148
"403","Slovenia","SVN","14_1_1_1",2018,3883,0.803660062089526
"404","South Africa","ZAF","14_1_1_1",2015,1059365,0.369089251749166
"405","South Africa","ZAF","14_1_1_1",2016,644019,0.407650765117525
"406","South Africa","ZAF","14_1_1_1",2017,243076,0.483143662886852
"407","South Africa","ZAF","14_1_1_1",2018,595450,0.413726029893068
"408","South Africa","ZAF","14_1_1_1",2019,304,1
"414","South Korea","KOR","14_1_1_1",2016,1651100,0.334705818069238
"415","South Korea","KOR","14_1_1_1",2017,958235,0.376862961612103
"416","South Korea","KOR","14_1_1_1",2018,720163,0.398992432187756
"434","Spain","ESP","14_1_1_1",2015,1531321,0.340540907754238
"435","Spain","ESP","14_1_1_1",2016,4088206,0.264457504018194
"436","Spain","ESP","14_1_1_1",2017,2193543,0.31269560175232
"437","Spain","ESP","14_1_1_1",2018,1436452,0.345496104715774
"438","Spain","ESP","14_1_1_1",2019,1257716,0.355791547004907
"439","Spain","ESP","14_1_1_1",2020,246332,0.482112709512313
"440","Sri Lanka","LKA","14_1_1_1",2016,3303722,0.280965111793363
"441","Sri Lanka","LKA","14_1_1_1",2017,3502184,0.276445159574139
"442","Sri Lanka","LKA","14_1_1_1",2018,1673198,0.333675719692566
"443","Suriname","SUR","14_1_1_1",2017,580801,0.415655996136446
"444","Suriname","SUR","14_1_1_1",2018,659674,0.405789887128105
"445","Sweden","SWE","14_1_1_1",2015,7624,0.751384878357733
"446","Sweden","SWE","14_1_1_1",2016,22391,0.667911248307029
"447","Sweden","SWE","14_1_1_1",2017,17226,0.68822952812481
"448","Sweden","SWE","14_1_1_1",2018,6489,0.763874081848006
