"","Country","Code","SDG","Year","Value"
"461","Trinidad and Tobago","TTO","14_1_1_1","2017",22.8064315746792
"462","Trinidad and Tobago","TTO","14_1_1_1","2018",21.0556877981518
"463","Tunisia","TUN","14_1_1_1","2019",27.1037956370685
"464","Turkey","TUR","14_1_1_1","2016",22.4687919483117
"465","Turkey","TUR","14_1_1_1","2017",18.1081596381857
"466","Turkey","TUR","14_1_1_1","2018",31.4918524189632
"467","Turkey","TUR","14_1_1_1","2019",36.2404781004295
"468","Turkey","TUR","14_1_1_1","2020",50.4991156170607
"469","Ukraine","UKR","14_1_1_1","2017",50.8662926705944
"470","Ukraine","UKR","14_1_1_1","2018",26.2261828010774
"471","Ukraine","UKR","14_1_1_1","2020",25.4647632678994
"472","United Arab Emirates","ARE","14_1_1_1","2016",24.1996318561559
"473","United Arab Emirates","ARE","14_1_1_1","2017",15.4916647017935
"474","United Arab Emirates","ARE","14_1_1_1","2018",29.066727806855
"475","United Kingdom","GBR","14_1_1_1","2015",27.559640349184
"476","United Kingdom","GBR","14_1_1_1","2016",26.4425756358681
"477","United Kingdom","GBR","14_1_1_1","2017",30.9063236432086
"478","United Kingdom","GBR","14_1_1_1","2018",26.5702022819549
"479","United Kingdom","GBR","14_1_1_1","2019",46.3734600337115
"480","United States","USA","14_1_1_1","2015",52.9062031128157
"481","United States","USA","14_1_1_1","2016",35.6812827808637
"482","United States","USA","14_1_1_1","2017",35.4229065922048
"483","United States","USA","14_1_1_1","2018",38.4711001866472
"484","United States","USA","14_1_1_1","2019",61.4888545391046
"485","United States","USA","14_1_1_1","2020",59.7186126873317
"486","United States Virgin Islands","VIR","14_1_1_1","2015",43.2515022941686
"487","United States Virgin Islands","VIR","14_1_1_1","2016",27.0948204769612
"488","United States Virgin Islands","VIR","14_1_1_1","2017",28.0817819492956
"489","United States Virgin Islands","VIR","14_1_1_1","2018",31.4740155805207
"490","Uruguay","URY","14_1_1_1","2016",30.3611989322187
