"","Country","Year","Value_sum","SDG"
"658","Bonaire, Sint Eustatius and Saba",2004,10.784786,"14"
"818","Bonaire, Sint Eustatius and Saba",2005,10.784786,"14"
"978","Bonaire, Sint Eustatius and Saba",2006,10.784786,"14"
"1138","Bonaire, Sint Eustatius and Saba",2007,8.840786,"14"
"1298","Bonaire, Sint Eustatius and Saba",2008,10.222786,"14"
"1458","Bonaire, Sint Eustatius and Saba",2009,9.148786,"14"
"1618","Bonaire, Sint Eustatius and Saba",2010,11.330786,"14"
"1778","Bonaire, Sint Eustatius and Saba",2011,9.300786,"14"
"1938","Bonaire, Sint Eustatius and Saba",2012,10.280786,"14"
"2098","Bonaire, Sint Eustatius and Saba",2013,11.852786,"14"
"2258","Bonaire, Sint Eustatius and Saba",2014,10.266786,"14"
"2418","Bonaire, Sint Eustatius and Saba",2015,10.846786,"14"
"2578","Bonaire, Sint Eustatius and Saba",2016,10.886786,"14"
"2738","Bonaire, Sint Eustatius and Saba",2017,10.262786,"14"
"2898","Bonaire, Sint Eustatius and Saba",2018,9.198786,"14"
"3058","Bonaire, Sint Eustatius and Saba",2019,10.938786,"14"
"19","Brazil",2000,8.805364,"14"
"179","Brazil",2001,8.805618,"14"
"339","Brazil",2002,8.836698,"14"
"499","Brazil",2003,8.875572,"14"
"659","Brazil",2004,8.875572,"14"
"819","Brazil",2005,8.977022,"14"
"979","Brazil",2006,8.935022,"14"
"1139","Brazil",2007,8.853022,"14"
"1299","Brazil",2008,10.430344,"14"
"1459","Brazil",2009,10.414344,"14"
"1619","Brazil",2010,10.336344,"14"
"1779","Brazil",2011,10.30882,"14"
"1939","Brazil",2012,10.50882,"14"
"2099","Brazil",2013,11.340384,"14"
"2259","Brazil",2014,11.534032,"14"
"2419","Brazil",2015,11.360032,"14"
"2579","Brazil",2016,11.629762,"14"
"2739","Brazil",2017,11.837438,"14"
"2899","Brazil",2018,11.95871,"14"
"3059","Brazil",2019,11.91871,"14"
"20","British Virgin Islands",2000,3.528138,"14"
"180","British Virgin Islands",2001,3.528138,"14"
"340","British Virgin Islands",2002,3.528138,"14"
"500","British Virgin Islands",2003,3.528138,"14"
"660","British Virgin Islands",2004,3.528138,"14"
"820","British Virgin Islands",2005,3.528138,"14"
